Timestamp,"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Sun Jul 21 19:05:37 EDT 2019,Dog,Rusty,Rusty,2,Foxredlab
Sun Jul 21 19:05:50 EDT 2019,Dog,Starfire,Star,15,Maltesepoodle
Sun Jul 21 19:05:52 EDT 2019,Dog,Nova,Nova,2.5,Pomeranianmix
Sun Jul 21 19:05:52 EDT 2019,Dog,Dinty,The Dint,5,Terriermix
Sun Jul 21 19:06:26 EDT 2019,Cat,Hamilton,Hammy Bits,3,Unknown
Sun Jul 21 19:06:28 EDT 2019,Dog,Kadie Jo,Kadie Jo,6,LabradorRetriever
Sun Jul 21 19:06:41 EDT 2019,Cat,Incandenza,Ink,3,Unknown
Sun Jul 21 19:06:43 EDT 2019,Cat,Fitzgerald,Fitz,8,Domesticshorthair
Sun Jul 21 19:07:21 EDT 2019,Cat,Zelda,Zelda,8,Domesticshorthair
Sun Jul 21 19:07:26 EDT 2019,Dog,Daisy Duke,Daisy,4,Siberianmix
Sun Jul 21 19:08:00 EDT 2019,Rodent,Stewie,Stewie,2,GuineaPig
Sun Jul 21 19:08:23 EDT 2019,Dog,Sunny Sunday Sky,Sunny,15.5,Beagle
Sun Jul 21 19:08:33 EDT 2019,Rodent,Francisco,Cisco,2,GuineaPig
Sun Jul 21 19:08:36 EDT 2019,Horse,Dream On Chip,Diva,15,Appaloosa
Sun Jul 21 19:08:53 EDT 2019,Dog,Bailey,Bailey,3,BorderColliemix
Sun Jul 21 19:09:10 EDT 2019,Horse,Tundra,Tundra,12,"Mixedbreed(Appaloosa,paint,Tennesseewalker)"
Sun Jul 21 19:09:48 EDT 2019,Dog,Bosco Spaghettio,Bosco,9,BorderColliemix
Sun Jul 21 19:09:50 EDT 2019,Cat,Agnes Marie,Aggie turd,2,Unknown
Sun Jul 21 19:10:03 EDT 2019,Dog,Tansei,Duffus,7,ShibaInu
Sun Jul 21 19:10:27 EDT 2019,Cat,Edith,Eduf Monster,1,Unknown
Sun Jul 21 19:10:38 EDT 2019,Cat,Mini,Mimi,13,Tuxedo cat
Sun Jul 21 19:11:02 EDT 2019,Cat,Theodore ,Ted,4,persian
Sun Jul 21 19:11:27 EDT 2019,Dog,Molly,Molly,16,GoldenRetriever
Sun Jul 21 19:11:29 EDT 2019,Dog,Duke Dukington,Duka,3,Chihuahuamix
Sun Jul 21 19:11:58 EDT 2019,Cat,Oliver Newton,Ollie,4,MaineCoon
Sun Jul 21 19:12:20 EDT 2019,Dog,Prince Phillip the 2nd,"Phillip, Daddy-o",12,WestHighlandTerrier
Sun Jul 21 19:12:29 EDT 2019,Cat,Starla,Starla,4,Domesticshorthair
Sun Jul 21 19:13:27 EDT 2019,Dog,Petey,Petey poopoo head,11,WestHighlandTerrier
Sun Jul 21 19:13:56 EDT 2019,Dog,President Nixon ,Nixy ,8,Mixed Breeds
Sun Jul 21 19:14:02 EDT 2019,Dog,Daisy Doodle Fat Kid with Butt Spots,Daisy,4,Houndmix
Sun Jul 21 19:14:06 EDT 2019,Dog,Benry of Willowbrook,Benry,8,GoldenRetriever
Sun Jul 21 19:14:43 EDT 2019,Dog,Qoda,Qoda,2.5,GoldenRetriever
Sun Jul 21 19:15:16 EDT 2019,Dog,Ziggy Starsog,Zig,1.5,Houndmix
Sun Jul 21 19:15:17 EDT 2019,Dog,Samuel Labrador,Sam,13,LabradorRetriever
Sun Jul 21 19:16:14 EDT 2019,Hamster,Princess Consuela Banana Hammock,Banana,Deceased,Unknown
Sun Jul 21 19:17:40 EDT 2019,Dog,Bentley Boy,Bentley,13,ShihTzu
Sun Jul 21 19:17:42 EDT 2019,Dog,Taco Belle ,Taco,Unknown,Taco
Sun Jul 21 19:17:43 EDT 2019,Dog,Pluto,Pluto,Deceased,GoldenRetriever
Sun Jul 21 19:18:09 EDT 2019,Hamster,Scooter Computer,Scooter,2,Unknown
Sun Jul 21 19:18:54 EDT 2019,Dog,Toby,Toby,6,Beaglemix
Sun Jul 21 19:19:07 EDT 2019,Dog,Harlee ,Harlee,3,AnatolianShepherd
Sun Jul 21 19:20:33 EDT 2019,Dog,Nessa,Nessa,1,GoldenRetriever
Sun Jul 21 19:21:17 EDT 2019,Dog,Biscuit Bandit ,Bandit,3,LabradorRetriever
Sun Jul 21 19:21:25 EDT 2019,Cat,Sophie,Fuzzbutt,2,Unknown
Sun Jul 21 19:21:30 EDT 2019,Dog,The Real Slim Sadie ,Sadie,1.5,GoldenRetriever
Sun Jul 21 19:21:30 EDT 2019,Dog,Quincy Sugarplum,Quincy,3,GoldenRetriever
Sun Jul 21 19:21:51 EDT 2019,Dog,Skipper Doo,Skip,4,Yorkie
Sun Jul 21 19:21:58 EDT 2019,Dog,Sam Ruffalo,Sam,6,GoldenLabrador
Sun Jul 21 19:22:04 EDT 2019,Dog,Brutus Buckeye,Brutus,11,GoldenRetriever
Sun Jul 21 19:22:48 EDT 2019,Dog,crespo ,crespo or baby 😂,12,ShihTzu
Sun Jul 21 19:22:58 EDT 2019,Dog,Rossignol,Rozzie,Deceased,SiberianHusky
Sun Jul 21 19:23:27 EDT 2019,Hamster,Peaches,Peaches,3,Unknown
Sun Jul 21 19:23:55 EDT 2019,Dog,Pepper,Pepper,4,Mixed Breeds
Sun Jul 21 19:24:04 EDT 2019,Dog,Amaya,Maya,6,SiberianHusky
Sun Jul 21 19:24:21 EDT 2019,Cat,Eloise ,Ellie,10,Unknown
Sun Jul 21 19:24:47 EDT 2019,Cat,Olive,Ollie,4,Unknown
Sun Jul 21 19:25:04 EDT 2019,Cat,Kiki Buntain,Kiki,18,Mutt
Sun Jul 21 19:25:15 EDT 2019,Dog,Tiger ,Tiger,12,Unknown
Sun Jul 21 19:25:26 EDT 2019,Dog,Bonnie,Bonnie,8,Westie
Sun Jul 21 19:26:21 EDT 2019,Dog,Abby,Abby,11,CavalierKingCharlesSpaniel
Sun Jul 21 19:26:35 EDT 2019,Lizard,Gomez,Gomie,10,Highyellowleopardgecko
Sun Jul 21 19:26:48 EDT 2019,Dog,Cooper,Coop,7,LabradorRetriever
Sun Jul 21 19:27:36 EDT 2019,Dog,Chase,Chase,3,Huskymix
Sun Jul 21 19:27:37 EDT 2019,Hamster,Steve Hammond,Steve,0.333333333,RussianCampbell
Sun Jul 21 19:27:51 EDT 2019,Dog,Riley Jenkins,Riley,1.5,GoldenRetriever
Sun Jul 21 19:27:52 EDT 2019,Dog,Montgomery T Dog ,"Monty, monkey, monkeyrunk, ",2,Dalmatianmix
Sun Jul 21 19:28:36 EDT 2019,Dog,Nana Roo,Nana,5,GermanShepherd
Sun Jul 21 19:28:52 EDT 2019,Cat,Ella Grey,Ella,7,Unknown
Sun Jul 21 19:29:30 EDT 2019,Dog,Callie,Cal Gal (the golden),3,GoldenRetriever
Sun Jul 21 19:29:31 EDT 2019,Dog,Rocco Norbert,Rocco,10,GoldenRetrievermix
Sun Jul 21 19:29:34 EDT 2019,Dog,Jack,Jack,3,Terriermix
Sun Jul 21 19:29:51 EDT 2019,Dog,Ted,Ted,0.5,WelshTerrier
Sun Jul 21 19:29:52 EDT 2019,Snake,Desiree,Desiree,11,Rosyboa
Sun Jul 21 19:30:01 EDT 2019,Dog,Jaida Lynn,Jaida,12,BlackLabMix
Sun Jul 21 19:30:16 EDT 2019,Snake,Gaia,Gaia,10,Dumeril’sboa
Sun Jul 21 19:30:38 EDT 2019,Dog,Daisy Lulu,Daisy,9,ToyPoodle
Sun Jul 21 19:30:57 EDT 2019,Cat,Phillip,Phillip,16,Yellowbuddytabby?
Sun Jul 21 19:31:00 EDT 2019,Cat,Sunni,Sunni,10,Birman
Sun Jul 21 19:31:26 EDT 2019,Cat,Nymeria,Nym,5,DMH
Sun Jul 21 19:31:39 EDT 2019,Cat,Scarlett,Scar,8,N/A
Sun Jul 21 19:31:50 EDT 2019,Cat,Ink,Ink,0.5,DMH
Sun Jul 21 19:32:07 EDT 2019,Cat,Drew,Drewbeans,7,Unknown
Sun Jul 21 19:32:20 EDT 2019,Dog,Titus ,Titus,7,LabradorRetriever
Sun Jul 21 19:32:35 EDT 2019,Cat,Midna,Midna,8,DSH
Sun Jul 21 19:32:39 EDT 2019,Dog,Cookie Asparagus ,Cookie,11,ChihuahuaJackRussellTerrier
Sun Jul 21 19:32:41 EDT 2019,Dog,Tessa Leigh,Tessa,11,Labradormix
Sun Jul 21 19:32:48 EDT 2019,Dog,Ali,Ali,5,Greyhound
Sun Jul 21 19:32:56 EDT 2019,Dog,Daisy,Daisy/Dandelion,4,Labradormix
Sun Jul 21 19:33:02 EDT 2019,Dog,Lucky,Luck luck ,5,LabradorRetriever
Sun Jul 21 19:33:14 EDT 2019,Cat,Rex,Rex,7,MaineCoon
Sun Jul 21 19:33:23 EDT 2019,Dog,Harper Jean,Harper Jean,1.5,GermanShepherdmix
Sun Jul 21 19:33:25 EDT 2019,Cat,Maverick,Maverick,2,Unknown
Sun Jul 21 19:33:26 EDT 2019,Hermit Crab,Rork,Rork,2,Unknown
Sun Jul 21 19:33:40 EDT 2019,Cat,Tina Fay,Tina,6,Unknown
Sun Jul 21 19:33:43 EDT 2019,Cat,Sophie,Sophie,4,DSH
Sun Jul 21 19:33:48 EDT 2019,Dog,Max-well,Max,6,GoldenRetriever
Sun Jul 21 19:33:53 EDT 2019,Dog,Mica,Mica,6,Labradormix
Sun Jul 21 19:34:11 EDT 2019,Cat,Patches,Patches ,10,Tuxedo cat
Sun Jul 21 19:34:13 EDT 2019,Cat,Asch,Asch,4,DSH
Sun Jul 21 19:35:11 EDT 2019,Rodent,Yuri,Yuri,1,Rat
Sun Jul 21 19:35:36 EDT 2019,Rodent,Ravio,Ravio,1,Rat
Sun Jul 21 19:35:42 EDT 2019,Dog,Sylvester Balboa,Sly,6,GoldenRetriever
Sun Jul 21 19:35:55 EDT 2019,Dog,Mia Roo ,Mia,11,AustralianShepherd
Sun Jul 21 19:36:12 EDT 2019,Rodent,Melody,Melody,1,Winterwhitehamster
Sun Jul 21 19:36:14 EDT 2019,Dog,Casper Tiberus,Casp,4,Mixed Breeds
Sun Jul 21 19:36:16 EDT 2019,Dog,Chummy,Chumbles,5,Labradoodle
Sun Jul 21 19:36:32 EDT 2019,Dog,Luna Bean ,Luna,7,Italiangreyhoundmix
Sun Jul 21 19:36:40 EDT 2019,Rodent,Brown Gerbil,Brown Gerb,2,Gerbil
Sun Jul 21 19:36:52 EDT 2019,Cat,Gabby Comacho,Cho Cho,16,Domesticshorthair
Sun Jul 21 19:37:03 EDT 2019,Rodent,White Gerbil,White Gerb,2,Gerbil
Sun Jul 21 19:37:07 EDT 2019,Dog,Sofie Tooter Scooter ,Sofie,7,Chihuahua
Sun Jul 21 19:37:16 EDT 2019,Dog,Mojo,Mojo,5,Labradoodle
Sun Jul 21 19:37:26 EDT 2019,Dog,Grace,Grace,1,Mixed Breeds
Sun Jul 21 19:37:34 EDT 2019,Cat,Misha ,Misha ,8,Tabby
Sun Jul 21 19:37:42 EDT 2019,Dog,Frankie,Frankie,1,Mixed Breeds
Sun Jul 21 19:37:45 EDT 2019,Rodent,Dollar dollar bills y'all,Bill,2,GuineaPig
Sun Jul 21 19:37:52 EDT 2019,Dog,Osa,Osa,9,Akitahuskymix
Sun Jul 21 19:37:57 EDT 2019,Dog,Dixie,Dixie,12.5,Pitbull
Sun Jul 21 19:38:14 EDT 2019,Cat,Barnabas ,Bucky,0.916666667,Mix
Sun Jul 21 19:38:15 EDT 2019,Dog,Nina,Nina,7,WestHighlandTerrier
Sun Jul 21 19:38:27 EDT 2019,Cat,Bitsy,Bitsy,15,Domesticshorthair
Sun Jul 21 19:39:10 EDT 2019,Dog,Rachel,Rachel ,8,Schnauzer
Sun Jul 21 19:40:12 EDT 2019,Dog,Piper,Piper,9,LabradorRetriever
Sun Jul 21 19:40:13 EDT 2019,Dog,Bella,Belly,10,Yorkie
Sun Jul 21 19:40:20 EDT 2019,Dog,Queen Khaleesi,Queenie,12,MountainDogmix
Sun Jul 21 19:40:38 EDT 2019,Cat,Pumpkin,Pumpkin,6,Unknown
Sun Jul 21 19:40:55 EDT 2019,Dog,Bridget ,"Bridgy, Pookie bridge ",15,Muttmix
Sun Jul 21 19:40:58 EDT 2019,Dog,Bodacious ,Bodie,14,LabradorRetriever
Sun Jul 21 19:41:21 EDT 2019,Dog,Mama Rose,Rosie,7,Pitbull
Sun Jul 21 19:41:25 EDT 2019,Dog,Augustus,Gus,8,GoldenRetriever
Sun Jul 21 19:41:35 EDT 2019,Cat,Sunshine,Sunshine,7,Tigerstripe(orange)
Sun Jul 21 19:42:52 EDT 2019,Dog,Tater,Tater,0.25,Labradormix
Sun Jul 21 19:42:55 EDT 2019,Cat,Millicent ,Millie,6,Unknown
Sun Jul 21 19:43:11 EDT 2019,Hedgehog,Gustavus Ericius Hedgehog of the North,Gus,1.5,Unknown
Sun Jul 21 19:43:16 EDT 2019,Dog,Beverly Ann,Beverlana,13,GoldenRetriever
Sun Jul 21 19:43:40 EDT 2019,Dog,Cora Smalls,Cora,3,Havanese
Sun Jul 21 19:43:40 EDT 2019,Dog,Jasper,Jasper,16,Dalmatianmix
Sun Jul 21 19:43:41 EDT 2019,Cat,Dust,Dust,1,Unknown
Sun Jul 21 19:43:50 EDT 2019,Dog,Caleb, caliber ,1.5,BlueTickCoonHound
Sun Jul 21 19:44:10 EDT 2019,Dog,Tonka,"Tonks, Tonkers, Sir Tail",8,Newfoundland
Sun Jul 21 19:44:29 EDT 2019,Bird,Spike,Spiker-doodle,13,Cockatiel
Sun Jul 21 19:44:40 EDT 2019,Cat,Ash,Ashy boy ,9,Unknown
Sun Jul 21 19:44:52 EDT 2019,Cat,Blossom ,Moose,6,Britishlonghair
Sun Jul 21 19:44:52 EDT 2019,Cat,Violet ,Violet ,14,Shorthair
Sun Jul 21 19:45:10 EDT 2019,Cat,Thor ,Thor,4,Unknown
Sun Jul 21 19:45:14 EDT 2019,Dog,Hank,Baby,2,Boxer
Sun Jul 21 19:45:27 EDT 2019,Dog,Brandy,Puddin,5,Labradormix
Sun Jul 21 19:45:42 EDT 2019,Cat,Lily,Lillibutt,11,Shorthair
Sun Jul 21 19:45:54 EDT 2019,Dog,Sir Squeaksalot the Second,Twoie,9,ChineseCrestedPowderOuff
Sun Jul 21 19:46:29 EDT 2019,Cat,Buddy,Buddy Boi,4,Shorthair
Sun Jul 21 19:48:10 EDT 2019,Dog,Colby Jack,Jack,5,GermanShepherd
Sun Jul 21 19:48:15 EDT 2019,Dog,Cooper,Coop,0.115384615,Labradoodle
Sun Jul 21 19:48:26 EDT 2019,Dog,Murphy,Murph,1,Goldendoodle
Sun Jul 21 19:49:35 EDT 2019,Dog,Phineas,,7,Irishsoft-coatedwheatenterrier
Sun Jul 21 19:49:39 EDT 2019,Dog,Peach,Peach,2,Mixed Breeds
Sun Jul 21 19:49:55 EDT 2019,Dog,moose alexander,Moose,0.666666667,Maltipoo
Sun Jul 21 19:50:15 EDT 2019,Cat,eliza goose,eliza,2,Grey
Sun Jul 21 19:50:18 EDT 2019,Rodent,Nibbles,Nibsey,5,GuineaPig
Sun Jul 21 19:50:35 EDT 2019,Cat,Chichi,Chichi,9,Tabby
Sun Jul 21 19:50:47 EDT 2019,Cat,Isabella,Izzy,4,Unknown
Sun Jul 21 19:50:56 EDT 2019,Dog,Ruby,Ruebs,6,RhodesianRidgeback
Sun Jul 21 19:51:44 EDT 2019,Dog,Ruby,Ruby,4,LabradorRetriever
Sun Jul 21 19:52:21 EDT 2019,Dog,Min Ottende Bold,Otte,9,BlackLabMix
Sun Jul 21 19:53:18 EDT 2019,Dog,Min fine Nimina Beana,Mina,6,YellowLabrador
Sun Jul 21 19:53:31 EDT 2019,Dog,Lucy,Lu,3,GreatPyrenees
Sun Jul 21 19:53:31 EDT 2019,Cat,Belvedere,Biff,16,shorthairmackereltabby
Sun Jul 21 19:53:51 EDT 2019,Cat,heaven,Kitty,8,Tortoiseshell
Sun Jul 21 19:54:23 EDT 2019,Dog,lucy lu,luey,4,BassetHound
Sun Jul 21 19:54:57 EDT 2019,Dog,Katniss Underfoot,Katniss,9,Pitbull
Sun Jul 21 19:56:27 EDT 2019,Dog,Sadie,Sayd,13,BorderCollie
Sun Jul 21 19:56:29 EDT 2019,Dog,Coco  Chanel mademoiselle ,Coco,5,GoldenRetriever
Sun Jul 21 19:56:48 EDT 2019,Dog,Maggie,Mags,8,BorderCollie
Sun Jul 21 19:58:07 EDT 2019,Dog,Gunner baker,Gunner ,12,LabradorRetriever
Sun Jul 21 19:58:37 EDT 2019,Rabbit,Lady Sybil,Lady,1.75,HollandLop
Sun Jul 21 19:58:44 EDT 2019,Cat,Ashley Williams,Ash,8,MaineCoon
Sun Jul 21 19:58:49 EDT 2019,Dog,April in Paris ,Paris ,6,GoldenRetriever
Sun Jul 21 19:58:56 EDT 2019,Rabbit,Colby,,3,Unknown
Sun Jul 21 19:59:00 EDT 2019,Cat,Mister,Mister,2,Americanshorthair
Sun Jul 21 19:59:19 EDT 2019,Cat,Goku,Tutu,2,Unknown
Sun Jul 21 19:59:38 EDT 2019,Fish,Miles,Miles,5,GoldFish
Sun Jul 21 19:59:43 EDT 2019,Cat,Fuzzball,Fuzzybutt,10,Americanshorthair
Sun Jul 21 19:59:54 EDT 2019,Dog,Felix,Felix,2,Unknown
Sun Jul 21 20:00:18 EDT 2019,Cat,Benjamin,Ben,14,Unknown
Sun Jul 21 20:00:00 EDT 2019,Dog,Woodruff,Woody,10,SaintBernardmix
Sun Jul 21 20:00:31 EDT 2019,Cat,Tibby,Tib or Monster ,3,Unknown
Sun Jul 21 20:01:12 EDT 2019,Dog,Kitty take your gloves off,Reba ,8,GoldenRetriever
Sun Jul 21 20:02:12 EDT 2019,Cat,Honey,Honey,7,Tabby
Sun Jul 21 20:02:25 EDT 2019,Dog,Mulligan,Mull,12,GoldenRetriever
Sun Jul 21 20:02:32 EDT 2019,Dog,Loki,Loki aka goof ball ,0.666666667,GoldenRetriever
Sun Jul 21 20:03:25 EDT 2019,Dog,Okemo,Okemo,8,AustralianCattleDog
Sun Jul 21 20:03:28 EDT 2019,Dog,Beau,Beau,1.5,GoldenRetrievermix
Sun Jul 21 20:04:23 EDT 2019,Cat,Lucy,Lucy,6,Unknown
Sun Jul 21 20:04:33 EDT 2019,Dog,Zack attack,Zack,10,GoldenRetriever
Sun Jul 21 20:05:02 EDT 2019,Dog,Kendall,Kendall,4,Labradormix
Sun Jul 21 20:05:13 EDT 2019,Dog,Bailey,Bailey,1,Labradormix
Sun Jul 21 20:05:25 EDT 2019,Dog,Ranger,Ranger,11,GermanShepherdmix
Sun Jul 21 20:05:27 EDT 2019,Dog,Dan,Dan,12,BasenjiMix
Sun Jul 21 20:05:31 EDT 2019,Dog,Sir Maximillion of Binghamton,Max,10,GoldenRetriever
Sun Jul 21 20:05:35 EDT 2019,Dog,Freya,Freya,3,Pointermix
Sun Jul 21 20:05:57 EDT 2019,Dog,Jackson,Jax,14,GoldenRetrievermix
Sun Jul 21 20:06:09 EDT 2019,Dog,Kurama,Kdog,3,Unknown
Sun Jul 21 20:06:13 EDT 2019,Dog,Luchik,Luchik or Luci,5,WhiteGermanShepherd-Husky
Sun Jul 21 20:06:24 EDT 2019,Dog,Pippi Hyde,Pippi,11,CockerSpaniel
Sun Jul 21 20:06:35 EDT 2019,Cat,Scarlett,Purrincess Kitty,13,Domesticshorthair
Sun Jul 21 20:06:50 EDT 2019,Dog,Pearly,Pearl,5.5,Huskymix
Sun Jul 21 20:07:01 EDT 2019,Cat,Sebastian,Monkey,12,Domesticshorthair
Sun Jul 21 20:07:17 EDT 2019,Dog,Walter,Walty,6,SpanielMix
Sun Jul 21 20:07:22 EDT 2019,Cat,Reeses Pieces,Reesie,2,Domesticshorthair
Sun Jul 21 20:07:48 EDT 2019,Dog,Buddy of Bailey's Irish Cream,Buddy,11,BlackLabMix
Sun Jul 21 20:08:05 EDT 2019,Dog,Belle,Belle,15,GoldenRetriever
Sun Jul 21 20:08:05 EDT 2019,Cat,Sushi Roll,Sushi,1.5,AmericanBobtail
Sun Jul 21 20:08:26 EDT 2019,Dog,Zoe Marie,Zoe,6,GermanShepherdmix
Sun Jul 21 20:08:47 EDT 2019,Dog,Wilson,Wilson,4,Labradormix
Sun Jul 21 20:09:27 EDT 2019,Cat,Mochi,Mochi,1.5,AmericanBobtail
Sun Jul 21 20:09:30 EDT 2019,Dog,Reesie ,Reesie,14,Yorkie Mix
Sun Jul 21 20:09:48 EDT 2019,Cat,Sasuke,Sasuke ,6,Mixed
Sun Jul 21 20:09:51 EDT 2019,Cat,Sasuke,Sasuke ,6,Mixed
Sun Jul 21 20:10:07 EDT 2019,Dog,Bocephus Ray,Bo,6,GermanShepherdmix
Sun Jul 21 20:10:17 EDT 2019,Dog,Gunner,Gunny,5,Yellowlab
Sun Jul 21 20:10:24 EDT 2019,Dog,Stella,Stella,12,Daschundmix
Sun Jul 21 20:10:24 EDT 2019,Dog,Bailey's Irish Cream,Bailey,13,BlackLabMix
Sun Jul 21 20:10:27 EDT 2019,Cat,Abigail,Abby,8,Siamese
Sun Jul 21 20:10:53 EDT 2019,Dog,Poppy,Pops,16,JackRussellTerrier
Sun Jul 21 20:11:12 EDT 2019,Dog,Nina,Beans,12,FlatCoatedRetriever
Sun Jul 21 20:12:20 EDT 2019,Cat,Boris,Boris,3,Spinx
Sun Jul 21 20:12:21 EDT 2019,Cat,Smoochey ,Moo moo cow/ moochey ,18,Domesticshorthair
Sun Jul 21 20:13:16 EDT 2019,Cat,Toast Malone,Toast ,5,Unknown
Sun Jul 21 20:13:34 EDT 2019,Cat,Hex,Hex,8,Unknown
Sun Jul 21 20:14:01 EDT 2019,Cat,Smudge of Grey,Smudge,7,Unknown
Sun Jul 21 20:14:01 EDT 2019,Dog,Charlotte,Char,4,Beaglemix
Sun Jul 21 20:14:02 EDT 2019,Dog,Ms. Cuddles,Cuddles,13.75,Chiffonmix
Sun Jul 21 20:14:28 EDT 2019,Dog,Wayne Rooney,Roo,13,BorderCollie
Sun Jul 21 20:14:33 EDT 2019,Dog,Snack,Snack,2,RottweilerMix
Sun Jul 21 20:14:45 EDT 2019,Cat,Skipper,Skips,16,Unknown
Sun Jul 21 20:14:50 EDT 2019,Cat,Nacho Bell Grande,"Bean, nacho, ",1,Yes
Sun Jul 21 20:15:53 EDT 2019,Dog,Hazel,"Zelly, ZZ, Hayzelly",3,GoldenRetriever
Sun Jul 21 20:15:56 EDT 2019,Dog,Luna Calamity Barnes,Luna,9,Muttmix
Sun Jul 21 20:16:18 EDT 2019,Dog,Hiro Barnes,Hiro,5,Muttmix
Sun Jul 21 20:16:32 EDT 2019,Dog,Ramsey,Ramsey,0.333333333,LabradorRetriever
Sun Jul 21 20:16:33 EDT 2019,Dog,Stella Diane,Stella,6,Havanesemix
Sun Jul 21 20:16:54 EDT 2019,Dog,Trigger ,Trig,4,LabradorRetriever
Sun Jul 21 20:17:22 EDT 2019,Cat,Noodle,Noodle,3,Calico/domesticshorthair
Sun Jul 21 20:18:31 EDT 2019,Dog,Héloïse,Héloïse ,10,Papillonmix
Sun Jul 21 20:19:46 EDT 2019,Dog,Scout McGee,Scout,12,Spitz
Sun Jul 21 20:20:21 EDT 2019,Dog,Milo,Milo,2,GoldenRetriever
Sun Jul 21 20:20:34 EDT 2019,Dog,Kolbie,Kolbie,10,Beagle
Sun Jul 21 20:20:51 EDT 2019,Dog,Rhyannon's Princess Nikita,Nikki,10.5,SiberianHusky
Sun Jul 21 20:20:54 EDT 2019,Cat,Scram,Scrammies,2,Domestic medium hair
Sun Jul 21 20:21:13 EDT 2019,Cat,Darwin,Cat,7,Unknown
Sun Jul 21 20:21:16 EDT 2019,Cat,Leo,Leo,16,Unknown
Sun Jul 21 20:21:27 EDT 2019,Cat,Kanga,Kanga,4,Calico/Tabby
Sun Jul 21 20:21:37 EDT 2019,Rabbit,Winona,Winnie,2,Unknown
Sun Jul 21 20:22:00 EDT 2019,Cat,Bugaloo Bonzai,Bug,7,Unknown
Sun Jul 21 20:22:17 EDT 2019,Dog,Malcolm P. Dog,Malcolm,17,Mixed Breeds
Sun Jul 21 20:23:13 EDT 2019,Dog,Maxwell T. Bone,Max (Alias: BrownDog),11,ChocolateLabrador
Sun Jul 21 20:24:23 EDT 2019,Cat,Patches,Patch,8,Unknown
Sun Jul 21 20:24:32 EDT 2019,Dog,Indy,Indy,8,Poodlemix
Sun Jul 21 20:24:39 EDT 2019,Dog,Cody Fluffball,Cody,11,GoldenRetriever
Sun Jul 21 20:24:58 EDT 2019,Dog,Fudge,Fudgie ,6,Pugmix
Sun Jul 21 20:25:32 EDT 2019,Dog,Mia,Mia,13,GoldenRetriever
Sun Jul 21 20:26:25 EDT 2019,Cat,Louie,Louie,4,Unknown
Sun Jul 21 20:26:41 EDT 2019,Cat,Mitzi Junebug Kandinsky,Mitzi,8,Unknown
Sun Jul 21 20:27:05 EDT 2019,Dog,Megan Gabriela Ortega,Moo,11,Boxer
Sun Jul 21 20:27:09 EDT 2019,Cat,Bernie,Bernie (Bernard if naughty),2,DomesticLonghair
Sun Jul 21 20:27:11 EDT 2019,Dog,Bel,Bel,7,CockerSpaniel
Sun Jul 21 20:27:23 EDT 2019,Dog,Artie,Artie Party,14,GoldenRetriever
Sun Jul 21 20:27:35 EDT 2019,Dog,Snickers,Snickers,9,Beaglemix
Sun Jul 21 20:27:37 EDT 2019,Cat,Hazel,Hazel,4,Domesticshorthair
Sun Jul 21 20:27:45 EDT 2019,Dog,Blue,Blue,7,BlueHeelermix
Sun Jul 21 20:28:14 EDT 2019,Dog,Wally,WaWa,2,GoldenRetrievermix
Sun Jul 21 20:28:28 EDT 2019,Dog,Copper,Copper,10,Chihuahuamix
Sun Jul 21 20:29:13 EDT 2019,Cat,Harold,Harry,0.115384615,Cat
Sun Jul 21 20:29:27 EDT 2019,Lizard,Birdie,Baby liz,7,Unknown
Sun Jul 21 20:30:52 EDT 2019,Cat,Sir Jonathan Pooh Cat,Jonathan,10,persian
Sun Jul 21 20:31:32 EDT 2019,Dog,Juliet,Jules,2,Pitbull
Sun Jul 21 20:31:52 EDT 2019,Cat,Scout,Scout,9,Tabby
Sun Jul 21 20:32:07 EDT 2019,Dog,Dasher,Dash,8,Spanador
Sun Jul 21 20:32:17 EDT 2019,Dog,Grace,Gracie,5,LabradorRetriever
Sun Jul 21 20:32:35 EDT 2019,Dog,Ruby,Ruby,12,Muttmix
Sun Jul 21 20:32:36 EDT 2019,Bird,Nugget,Nugget,2,RingneckDove
Sun Jul 21 20:32:50 EDT 2019,Dog,Levi,Lee,6,AustralianShepherd
Sun Jul 21 20:33:33 EDT 2019,Dog,Elle Loki Bean,Bellie,1,Boxermix
Sun Jul 21 20:34:19 EDT 2019,Dog,Dorthea Dix,Doge,5,GoldenRetriever
Sun Jul 21 20:34:21 EDT 2019,Dog,Layla Bo Peep,Layla,0.333333333,Puggle
Sun Jul 21 20:34:38 EDT 2019,Dog,Rocky,Rocky,12,Beaglemix
Sun Jul 21 20:35:09 EDT 2019,Dog,Tillith,Tilly/TillBear,8,Houndmix
Sun Jul 21 20:36:00 EDT 2019,Dog,Rollo,Rollo,3.5,Yellowlab
Sun Jul 21 20:37:12 EDT 2019,Dog,Nisku,Nisku,2,GermanShepherdmix
Sun Jul 21 20:37:25 EDT 2019,Cat,Cat,Cat,8,DomesticLonghair
Sun Jul 21 20:37:45 EDT 2019,Cat,Peaches,Peaches,5,persian
Sun Jul 21 20:37:54 EDT 2019,Dog,Kadie Jo,Sadie or Tato,5,YellowLabradorRetriever
